formula,activity,syngony,length,length_unit,width,width_unit,depth,depth_unit,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_min_unit,c_max,c_max_unit,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,visual
CuS,peroxidase,hexagonal,,,,,,,,0.064,mM,7.64E+01,10-8 M s-1,text,TMB + H2O2,0,mM,0.5,mM,0.35,M,40,μg/mL,4,,10.1016/j.aca.2016.10.013,J.ACA.2016.10.013,0,Uncapped nanobranch-based CuS clews used as an efficient peroxidase mimic enable the visual detection of hydrogen peroxide and glucose with fast response,Analytica Chimica Acta,2016,1
CuS,peroxidase,hexagonal,,,,,,,,1.753,mM,2.37E+01,10-8 M s-1,text,H2O2 + TMB,0,mM,800,mM,0.2,mM,40,μg/mL,4,,10.1016/j.aca.2016.10.013,J.ACA.2016.10.013,0,Uncapped nanobranch-based CuS clews used as an efficient peroxidase mimic enable the visual detection of hydrogen peroxide and glucose with fast response,Analytica Chimica Acta,2016,1
NiCo2O4,peroxidase,cubic,,,,,,,,0.142,mM,2.223,10-8 M·s-1 ,si,TMB + H2O2,0,mM,1.6,mM,0.2,mM,20,μg mL−1,4,37,10.1016/j.aca.2016.11.035,J.ACA.2016.11.035,0,The peroxidase and oxidase-like activity of NiCo2O4 mesoporous spheres: Mechanistic understanding and colorimetric biosensing,Analytica Chimica Acta,2017,1
NiCo2O4,peroxidase,cubic,,,,,,,,9.406,mM,25.84,10-8 M·s-1 ,si,H2O2 + TMB,0,mM,20,mM,4,mM,20,μg mL−1,4,37,10.1016/j.aca.2016.11.035,J.ACA.2016.11.035,0,The peroxidase and oxidase-like activity of NiCo2O4 mesoporous spheres: Mechanistic understanding and colorimetric biosensing,Analytica Chimica Acta,2017,1
NiCo2O4,oxidase,cubic,,,,,,,,0.127,mM,0.00000000999,M·s-1 ,text,TMB,0,mM,1.2,mM,,,20,μg mL−1,4,37,10.1016/j.aca.2016.11.035,J.ACA.2016.11.035,0,The peroxidase and oxidase-like activity of NiCo2O4 mesoporous spheres: Mechanistic understanding and colorimetric biosensing,Analytica Chimica Acta,2017,1
WOx,peroxidase,,1.33,nm,1.33,nm,1.33,nm,,0.79,mM,,,text,ABTS + H2O2,0,mM,4,mM,,,350,μg mL−1,6,37,10.1016/j.aca.2017.09.011,J.ACA.2017.09.011,0,Highly sensitive and rapid colorimetric sensing platform based on water-soluble WO x quantum dots with intrinsic peroxidase-like activity,Analytica Chimica Acta,2017,1
WOx,peroxidase,,1.33,nm,1.33,nm,1.33,nm,,1.26,mM,,,text,H2O2 + TMB,0,mM,6,mM,,,350,μg mL−1,6,37,10.1016/j.aca.2017.09.011,J.ACA.2017.09.011,0,Highly sensitive and rapid colorimetric sensing platform based on water-soluble WO x quantum dots with intrinsic peroxidase-like activity,Analytica Chimica Acta,2017,1
MoO3,oxidase,orthorhombic,2-4,nm,2-4,nm,2-4,nm,,1.6769,mM,,,text,ABTS,0,mM,5,mM,,,,,5,37,10.1016/j.aca.2020.01.035,J.ACA.2020.01.035,1,Colorimetric acid phosphatase sensor based on MoO3 nanozyme,Analytica Chimica Acta,2020,1
WS2,peroxidase,,50-300,nm,50-300,nm,8,nm,,15.158,mM,65.23,10-8 M s-1,text,TMB + H2O2,2,mM,7,mM,,,34,μg mL−1,4,40,10.1016/j.aca.2020.01.043,J.ACA.2020.01.043,0,A facile colorimetric sensor for ultrasensitive and selective detection of Lead(II) in environmental and biological samples based on intrinsic peroxidase-mimic activity of WS2 nanosheets,Analytica Chimica Acta,2020,1
WS2,peroxidase,,50-300,nm,50-300,nm,8,nm,,0.805,mM,2.20E+01,10-8 M s-1,text,H2O2 + TMB,3,mM,5.5,mM,,,34,μg mL−1,4,40,10.1016/j.aca.2020.01.043,J.ACA.2020.01.043,0,A facile colorimetric sensor for ultrasensitive and selective detection of Lead(II) in environmental and biological samples based on intrinsic peroxidase-mimic activity of WS2 nanosheets,Analytica Chimica Acta,2020,1
Co(OH)2,oxidase,amorphous,500,nm,500,nm,500,nm,,0.362,mM,0.0000000606,M s-1,si,TMB,0,mM,4,mM,,,,,4,25,10.1016/j.aca.2020.07.068,J.ACA.2020.07.068,0,A colorimetric immunoassay based on cobalt hydroxide nanocages as oxidase mimics for detection of ochratoxin A,Analytica Chimica Acta,2020,1
"(Co,Mn)3O4",oxidase,tetragonal,5,nm,5,nm,5,nm,,0.00717,mM,20.86,10-8 M/s,text,TMB,0.01,mM,0.055,mM,,,22.5,μg/mL,4,15,10.1016/j.aca.2022.339564,J.ACA.2022.339564,0,Engineering porous Coâ€“Mn oxide nanosheets with abundant oxygen vacancy as an efficient oxidase-like mimic for heparin colorimetric sensing,Analytica Chimica Acta,2022,0
"(Co,Mn)3O4",oxidase,tetragonal,,,,,,,,0.0337,mM,0.000000201,M/s,text,TMB,0.01,mM,0.055,mM,,,22.5,μg/mL,4,15,10.1016/j.aca.2022.339564,J.ACA.2022.339564,0,Engineering porous Coâ€“Mn oxide nanosheets with abundant oxygen vacancy as an efficient oxidase-like mimic for heparin colorimetric sensing,Analytica Chimica Acta,2022,0
FeS,peroxidase,hexagonal,5,nm,5,nm,5,nm,,0.008,mM,0.000000107,m s−1,text,TMB + H2O2,0.0083,mM,0.2,mM,13,mM,20,μg,4.6,40,10.1016/j.apcata.2012.01.025,J.APCATA.2012.01.025,0,"Synthesis and characterization of FeS nanoparticles obtained from a dithiocarboxylate precursor complex and their photocatalytic, electrocatalytic and biomimic peroxidase behavior",Applied Catalysis A: General,2012,0
FeS,peroxidase,hexagonal,5,nm,5,nm,5,nm,,7.67,mM,0.000000207,m s−1,text,H2O2 + TMB,6.5,mM,48,mM,0.1,M,20,μg,4.6,40,10.1016/j.apcata.2012.01.025,J.APCATA.2012.01.025,0,"Synthesis and characterization of FeS nanoparticles obtained from a dithiocarboxylate precursor complex and their photocatalytic, electrocatalytic and biomimic peroxidase behavior",Applied Catalysis A: General,2012,0
CdS,peroxidase,hexagonal,10,nm,10,nm,10,nm,,0.0054,mM,,,text,TMB + H2O2,0,mM,0.12,mM,,,24,μg,4,40,10.1016/j.apcatb.2012.07.005,J.APCATB.2012.07.005,0,Single-source precursor approach for the preparation of CdS nanoparticles and their photocatalytic and intrinsic peroxidase like activity,Applied Catalysis B: Environmental,2012,1
CdS,peroxidase,hexagonal,10,nm,10,nm,10,nm,,6.54,mM,,,text,H2O2 + TMB,0,mM,50,mM,,,24,μg,4,40,10.1016/j.apcatb.2012.07.005,J.APCATB.2012.07.005,0,Single-source precursor approach for the preparation of CdS nanoparticles and their photocatalytic and intrinsic peroxidase like activity,Applied Catalysis B: Environmental,2012,1
3CoV-400,peroxidase,orthorhombic,,,,,,,,0.179,mM,5.78E+01,10-8 M/s,si,TMB + H2O2,0,mM,0.4,mM,5,mM,50,μg/mL,4,,10.1016/j.apcatb.2019.118256,J.APCATB.2019.118256,0,Bifunctionalized novel Co-V MMO nanowires: Intrinsic oxidase and peroxidase like catalytic activities for antibacterial application,Applied Catalysis B: Environmental,2020,1
3CoV-400,peroxidase,orthorhombic,,,,,,,,0.12,mM,5.30E+00,10-8 M/s,si,H2O2 + TMB,0,mM,4,mM,0.05,mM,50,μg/mL,4,,10.1016/j.apcatb.2019.118256,J.APCATB.2019.118256,0,Bifunctionalized novel Co-V MMO nanowires: Intrinsic oxidase and peroxidase like catalytic activities for antibacterial application,Applied Catalysis B: Environmental,2020,1
3CoV-400,oxidase,orthorhombic,,,,,,,,0.444,mM,9.50E-08,M/s,text,TMB,,,,,,,50,μg/mL,4,,10.1016/j.apcatb.2019.118256,J.APCATB.2019.118256,0,Bifunctionalized novel Co-V MMO nanowires: Intrinsic oxidase and peroxidase like catalytic activities for antibacterial application,Applied Catalysis B: Environmental,2020,0
5% CoO/CeO2,peroxidase,cubic,,,,,,,,1.81,mM,,,text,TMB + H2O2,0.25,mM,3,mM,100,μM,0.25,mg,3.6,25,10.1016/j.apmt.2019.03.009,J.APMT.2019.03.009,1,Ordered mesoporous CoO/CeO2 heterostructures with highly crystallized walls and enhanced peroxidase-like bioactivity,Applied Materials Today,2019,1
5% CoO/CeO2,peroxidase,cubic,,,,,,,,0.021,mM,,,text,H2O2 + TMB,0,mM,0.13,mM,3,mM,0.25,mg,3.6,25,10.1016/j.apmt.2019.03.009,J.APMT.2019.03.009,1,Ordered mesoporous CoO/CeO2 heterostructures with highly crystallized walls and enhanced peroxidase-like bioactivity,Applied Materials Today,2019,1
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.079,mM,,,text,H2O2 + TMB,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.015,mM,,,text,TMB + H2O2,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.091,mM,,,text,H2O2 + TMB,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.013,mM,,,text,TMB + H2O2,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.0262,mM,,,text,H2O2 + TMB,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Co3O4,peroxidase,cubic,4900,nm,600,nm,600,nm,,0.012,mM,,,text,TMB + H2O2,,,,,,,36,μg,4,40,10.1016/j.apsusc.2016.12.067,J.APSUSC.2016.12.067,0,Co 3 O 4 mirobelts: Preparation with the electrospinning technique and its investigation in peroxidase-like activity,Applied Surface Science,2017,0
Pt/CeO2,peroxidase,,,,,,,,,0.408,mM,0.884,μM·s−1,text,TMB + H2O2,0,mM,0.5,mM,5,mM,100,μg/mL,5,25,10.1016/j.apsusc.2019.02.135,J.APSUSC.2019.02.135,0,Sensitive colorimetric detection of ascorbic acid using Pt/CeO2 nanocomposites as peroxidase mimics,Applied Surface Science,2019,1
Pt/CeO2,peroxidase,,,,,,,,,16.18,mM,1.082,μM·s−1,text,H2O2 + TMB,0,mM,20,mM,0.3,mM,100,μg/mL,5,25,10.1016/j.apsusc.2019.02.135,J.APSUSC.2019.02.135,0,Sensitive colorimetric detection of ascorbic acid using Pt/CeO2 nanocomposites as peroxidase mimics,Applied Surface Science,2019,1
CuO/Pt,peroxidase,,300–350,nm,300–350,nm,300–350,nm,,0.33,mM,27.86,10−8 M S−1,text,TMB + H2O2,0.1,mM,1.8,mM,6,mM,0.1,mM,4,35,10.1016/j.apsusc.2019.03.337,J.APSUSC.2019.03.337,0,Enhanced peroxidase-like activity of CuO/Pt nanoflowers for colorimetric and ultrasensitive Hg2+ detection in water sample,Applied Surface Science,2019,0
CuO/Pt,peroxidase,,300–350,nm,300–350,nm,300–350,nm,,0.75,mM,12.88,10−8 M S−1,text,H2O2 + TMB,0.25,mM,6,mM,0.5,mM,0.1,mM,4,35,10.1016/j.apsusc.2019.03.337,J.APSUSC.2019.03.337,0,Enhanced peroxidase-like activity of CuO/Pt nanoflowers for colorimetric and ultrasensitive Hg2+ detection in water sample,Applied Surface Science,2019,0
Fe3O4,peroxidase,cubic,,,,,,,,0.0003,mM,0.0027,M/S,text,TMB + H2O2,0,mM,0.8,mM,,,,,,,10.1016/j.apsusc.2023.157185,J.APSUSC.2023.157185,0,A novel Fe3O4/CuOx nanozyme: Intrinsic peroxidase-like activity to kill bacteria and sterilize wounds,Applied Surface Science,2023,1
Fe3O4,peroxidase,cubic,,,,,,,,1.281,mM,0.0859,M/S,text,H2O2 + TMB,0,mM,100,mM,,,,,,,10.1016/j.apsusc.2023.157185,J.APSUSC.2023.157185,0,A novel Fe3O4/CuOx nanozyme: Intrinsic peroxidase-like activity to kill bacteria and sterilize wounds,Applied Surface Science,2023,1
Fe3O4/CuOx,peroxidase,,,,,,,,,0.0012,mM,0.0251,M/S,text,TMB + H2O2,0,mM,0.8,mM,,,,,,,10.1016/j.apsusc.2023.157185,J.APSUSC.2023.157185,0,A novel Fe3O4/CuOx nanozyme: Intrinsic peroxidase-like activity to kill bacteria and sterilize wounds,Applied Surface Science,2023,1
Fe3O4/CuOx,peroxidase,,,,,,,,,0.03,mM,1.23E-02,M/S,text,H2O2 + TMB,0,mM,100,mM,,,,,,,10.1016/j.apsusc.2023.157185,J.APSUSC.2023.157185,0,A novel Fe3O4/CuOx nanozyme: Intrinsic peroxidase-like activity to kill bacteria and sterilize wounds,Applied Surface Science,2023,1
Se,oxidase,,40,nm,40,nm,40,nm,BSA,0.859,mM,3.20E-01,μM∙min−1,text,TMB,0,mM,0.8,mM,,,0.125,mM,4,25,10.1016/j.bej.2019.107384,J.BEJ.2019.107384,0,Enhanced oxidase-like activity of selenium nanoparticles stabilized by chitosan and application in a facile colorimetric assay for mercury (II),Biochemical Engineering Journal,2019,1
Se,oxidase,,70,nm,70,nm,70,nm,chitosan,0.852,mM,1.43E+00,μM∙min−1,text,TMB,0,mM,0.9,mM,,,0.15,mM,3.5,25,10.1016/j.bej.2019.107384,J.BEJ.2019.107384,0,Enhanced oxidase-like activity of selenium nanoparticles stabilized by chitosan and application in a facile colorimetric assay for mercury (II),Biochemical Engineering Journal,2019,1
iron oxide,peroxidase,,,,,,,,citrate,0.24,mM,1.7,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,citrate,0.73,mM,1.45,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,carboxymethyl dextran,0.3,mM,1.25,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,carboxymethyl dextran,0.81,mM,1.15,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,heparin,0.22,mM,2.4,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,heparin,0.96,mM,0.52,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,glycine,0.55,mM,9.60E-01,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,glycine,0.2,mM,2.97,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,polylysine,0.69,mM,4.60E-01,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,polylysine,0.19,mM,4.50E+00,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,polyethyleneimine,0.71,mM,0.42,10-7 M/s,text,TMB + H2O2,0,mM,3,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
iron oxide,peroxidase,,,,,,,,polyethyleneimine,0.12,mM,6.1,10-7 M/s,text,ABTS + H2O2,0,mM,2.5,mM,530,mmol/L,0.35,mg Fe/mL,7.4,25,10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005,1,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
Au@Pt 0.17,oxidase,,,,,,,,PSS,0.006,mM,26.2,nM s-1,text,TMB,,,,,,,0.05,nM,4.5,30,10.1016/j.biomaterials.2010.09.040,J.BIOMATERIALS.2010.09.040,0,Au@Pt nanostructures as oxidase and peroxidase mimetics for use in immunoassays,Biomaterials,2011,0
Au@Pt 0.25,oxidase,,,,,,,,PSS,0.013,mM,25,nM s-1,text,TMB,,,,,,,0.0125,nM,4.5,30,10.1016/j.biomaterials.2010.09.040,J.BIOMATERIALS.2010.09.040,0,Au@Pt nanostructures as oxidase and peroxidase mimetics for use in immunoassays,Biomaterials,2011,0
Au@Pt 0.17,peroxidase,,,,,,,,PSS,0.0095,mM,102,nM s-1,text,TMB + H2O2,,,,,20,mM,0.05,nM,4.5,30,10.1016/j.biomaterials.2010.09.040,J.BIOMATERIALS.2010.09.040,0,Au@Pt nanostructures as oxidase and peroxidase mimetics for use in immunoassays,Biomaterials,2011,0
Au@Pt 0.25,peroxidase,,,,,,,,PSS,0.027,mM,181,nM s-1,text,TMB + H2O2,,,,,20,mM,0.0125,nM,4.5,30,10.1016/j.biomaterials.2010.09.040,J.BIOMATERIALS.2010.09.040,0,Au@Pt nanostructures as oxidase and peroxidase mimetics for use in immunoassays,Biomaterials,2011,0
Pt,peroxidase,cubic,1.87,nm,1.87,nm,1.87,nm,apoferritin,0.22,mM,0.000558,mMs-1,text,TMB + H2O2,,,,,8,mM,15,μg,4,37,10.1016/j.biomaterials.2010.11.004,J.BIOMATERIALS.2010.11.004,0,Direct evidence for catalase and peroxidase activities of ferritinâ€“platinum nanoparticles,Biomaterials,2011,0
Pt,peroxidase,cubic,1.87,nm,1.87,nm,1.87,nm,apoferritin,187.25,mM,0.32,mMs-1,text,H2O2 + TMB,,,,,0.21,mM,15,μg,4,37,10.1016/j.biomaterials.2010.11.004,J.BIOMATERIALS.2010.11.004,0,Direct evidence for catalase and peroxidase activities of ferritinâ€“platinum nanoparticles,Biomaterials,2011,0
Pt,catalase,cubic,1.87,nm,1.87,nm,1.87,nm,apoferritin,420.6,mM,0.84,mMs-1,text,H2O2,,,,,,,,,7.4,37,10.1016/j.biomaterials.2010.11.004,J.BIOMATERIALS.2010.11.004,0,Direct evidence for catalase and peroxidase activities of ferritinâ€“platinum nanoparticles,Biomaterials,2011,0
CeO2,peroxidase,cubic,60,nm,8,nm,8,nm,,0.147,mM,0.062,mM/s,text,TMB + H2O2,0,mM,2,mM,100,mM,0.2,μg/mL,4,25,10.1016/j.biomaterials.2015.04.039,J.BIOMATERIALS.2015.04.039,0,Highly sensitive and robust peroxidase-like activity of porous nanorods of ceria and their application for breast cancer detection,Biomaterials,2015,1
CeO2,peroxidase,cubic,60,nm,8,nm,8,nm,,293,mM,0.038,mM/s,text,H2O2 + TMB,0,mM,100,mM,0.8,mM,0.2,μg/mL,4,25,10.1016/j.biomaterials.2015.04.039,J.BIOMATERIALS.2015.04.039,0,Highly sensitive and robust peroxidase-like activity of porous nanorods of ceria and their application for breast cancer detection,Biomaterials,2015,1
Au,peroxidase,,,,,,,,BSA,0.00253,mM,6.23,10-8 M S-1,text,TMB + H2O2,0,mM,0.6,mM,,,0.05,nM,3,40,10.1016/j.bios.2011.02.014,J.BIOS.2011.02.014,0,BSA-stabilized Au clusters as peroxidase mimetics for use in xanthine detection,Biosensors and Bioelectronics,2011,1
Au,peroxidase,,,,,,,,BSA,25.3,mM,7.21,10-8 M S-1,text,H2O2 + TMB,0,mM,300,mM,,,0.05,nM,3,40,10.1016/j.bios.2011.02.014,J.BIOS.2011.02.014,0,BSA-stabilized Au clusters as peroxidase mimetics for use in xanthine detection,Biosensors and Bioelectronics,2011,1
WC,peroxidase,hexagonal,150–200,nm,30–50,nm,30–50,nm,,0.274,mM,6.81,10-8 M s-1,text,TMB + H2O2,0,mM,0.8,mM,0.4,M,0.02,mg mL−1,4,,10.1016/j.bios.2013.11.040,J.BIOS.2013.11.040,1,Novel tungsten carbide nanorods: An intrinsic peroxidase mimetic with high activity and stability in aqueous and organic solvents,Biosensors and Bioelectronics,2014,1
WC,peroxidase,hexagonal,150–200,nm,30–50,nm,30–50,nm,,119.6,mM,7.16,10-8 M s-1,text,H2O2 + TMB,0,mM,800,mM,0.6,M,0.02,mg mL−1,4,,10.1016/j.bios.2013.11.040,J.BIOS.2013.11.040,1,Novel tungsten carbide nanorods: An intrinsic peroxidase mimetic with high activity and stability in aqueous and organic solvents,Biosensors and Bioelectronics,2014,1
WS2,peroxidase,hexagonal,40-150,nm,40-150,nm,40-150,nm,,1.83,mM,0.0000000431,M/s,si,TMB + H2O2,0.4,mM,2.2,mM,0.14,mM,2.6,mg/mL,6.9,60,10.1016/j.bios.2014.07.001,J.BIOS.2014.07.001,0,Visual detection of blood glucose based on peroxidase-like activity of WS2 nanosheets,Biosensors and Bioelectronics,2014,1
WS2,peroxidase,hexagonal,40-150,nm,40-150,nm,40-150,nm,,0.24,mM,0.0000000452,M/s,si,H2O2 + TMB,0,mM,0.5,mM,1.2,mM,2.6,mg/mL,6.9,60,10.1016/j.bios.2014.07.001,J.BIOS.2014.07.001,0,Visual detection of blood glucose based on peroxidase-like activity of WS2 nanosheets,Biosensors and Bioelectronics,2014,1
MgFe2O4,peroxidase,,220,nm,220,nm,220,nm,,0.67,mM,0.0000000209,M s-1,text,TMB + H2O2,,,,,,,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,0
MgFe2O4,peroxidase,,220,nm,220,nm,220,nm,,0.14,mM,0.0000001254,M s-1,text,ABTS + H2O2,0.28,mM,0.4,mM,12,mM,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,1
MgFe2O4,peroxidase,,220,nm,220,nm,220,nm,,4.61,mM,0.0000001346,M s-1,text,H2O2 + ABTS,0,mM,20,mM,400,μM,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,1
NiFe2O4,peroxidase,,200,nm,200,nm,200,nm,,0.55,mM,0.0000000457,M s-1,text,TMB + H2O2,,,,,,,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,0
NiFe2O4,peroxidase,,200,nm,200,nm,200,nm,,0.46,mM,0.0000001748,M s-1,text,ABTS + H2O2,0.28,mM,0.4,mM,12,mM,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,1
NiFe2O4,peroxidase,,200,nm,200,nm,200,nm,,2.6,mM,0.0000001411,M s-1,text,H2O2 + ABTS,0,mM,20,mM,400,μM,0.04,μg mL−1,4,45,10.1016/j.bios.2014.07.048,J.BIOS.2014.07.048,0,"The peroxidase/catalase-like activities of MFe 2 O 4 (M=Mg, Ni, Cu) MNPs and their application in colorimetric biosensing of glucose",Biosensors and Bioelectronics,2015,1
NiO,peroxidase,cubic,65,nm,32,nm,32,nm,Tetrakis(4-carboxyphenyl)porphine,0.0000114,M,0.000000482,M s-1,si,TMB + H2O2,0,mM,0.06,mM,25,mM,0.04,mg mL−1,3.8,45,10.1016/j.bios.2014.08.062,J.BIOS.2014.08.062,0,"NiO nanoparticles modified with 5,10,15,20-tetrakis(4-carboxyl pheyl)-porphyrin: Promising peroxidase mimetics for H2O2 and glucose detection",Biosensors and Bioelectronics,2015,1
NiO,peroxidase,cubic,65,nm,32,nm,32,nm,Tetrakis(4-carboxyphenyl)porphine,0.0391,M,0.0000000138,M s-1,si,H2O2 + TMB,10,mM,125,mM,0.05,mM,0.04,mg mL−1,3.8,45,10.1016/j.bios.2014.08.062,J.BIOS.2014.08.062,0,"NiO nanoparticles modified with 5,10,15,20-tetrakis(4-carboxyl pheyl)-porphyrin: Promising peroxidase mimetics for H2O2 and glucose detection",Biosensors and Bioelectronics,2015,0
NiO,peroxidase,cubic,65,nm,32,nm,32,nm,,0.00000666,M,0.00000000267,M s-1,si,TMB + H2O2,0,mM,0.06,mM,25,mM,0.04,mg mL−1,3.8,40,10.1016/j.bios.2014.08.062,J.BIOS.2014.08.062,0,"NiO nanoparticles modified with 5,10,15,20-tetrakis(4-carboxyl pheyl)-porphyrin: Promising peroxidase mimetics for H2O2 and glucose detection",Biosensors and Bioelectronics,2015,1
